iteracion,tiempo_segundos
1,0.00220509
2,0.00258687
3,0.00170887
4,0.00165455
5,0.00189891
6,0.00167053
7,0.00167043
8,0.00166642
9,0.00167809
10,0.00166939
11,0.00166842
12,0.00206382
13,0.0017235
14,0.00306471
15,0.00177522
16,0.00168228
17,0.00168594
18,0.00167372
19,0.00167509
20,0.00168342
21,0.00240743
22,0.00167993
23,0.0016759
24,0.00167818
25,0.00173902
26,0.00167528
27,0.00168915
28,0.00167597
29,0.00167277
30,0.00167468
31,0.00166443
32,0.00165474

Promedio:,0.00181227
Desviacion:, 0.000316121
