iteracion,tiempo_segundos
1,0.000172673
2,0.000131657
3,0.000131716
4,0.000130574
5,0.000187171
6,0.000108804
7,9.4076e-05
8,9.4066e-05
9,9.3345e-05
10,9.5309e-05
11,9.3224e-05
12,9.3104e-05
13,9.3325e-05
14,9.3184e-05
15,9.8304e-05
16,9.3084e-05
17,9.3465e-05
18,9.3324e-05
19,9.3114e-05
20,9.3235e-05
21,9.3264e-05
22,9.3214e-05
23,9.3135e-05
24,9.3375e-05
25,9.3104e-05
26,9.5549e-05
27,9.3205e-05
28,9.3014e-05
29,9.3135e-05
30,9.3024e-05
31,9.3074e-05
32,9.3185e-05

Promedio:,0.000103032
Desviacion:, 2.28401e-05
