iteracion,tiempo_segundos
1,2.2682e-05
2,1.7232e-05
3,1.6671e-05
4,1.6551e-05
5,1.6411e-05
6,1.6571e-05
7,1.6401e-05
8,1.6511e-05
9,1.6451e-05
10,1.6642e-05
11,1.6661e-05
12,1.6571e-05
13,1.6451e-05
14,1.6631e-05
15,1.6541e-05
16,1.6521e-05
17,1.6441e-05
18,1.6621e-05
19,4.5936e-05
20,2.3714e-05
21,2.1239e-05
22,2.0769e-05
23,2.0629e-05
24,2.0648e-05
25,2.0598e-05
26,2.0649e-05
27,2.0519e-05
28,2.0658e-05
29,2.0668e-05
30,2.0649e-05
31,2.0549e-05
32,2.0639e-05

Promedio:,1.94508e-05
Desviacion:, 5.27166e-06
